,date,hour,exercise,Serie 1,Serie 2,Serie 3,Serie 4,Serie 5,Serie 6,Serie 7,Serie 8,Datetime
65,2024-01-25,9:26 p. m.,Curl bicep ,"{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '12'}","{'weight': '20 lb', 'reps': '13'}",,,,,,2024-01-25
66,2024-01-25,9:42 p. m.,Curl bicep ,"{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '10'}","{'weight': '20 lb', 'reps': '11'}",,,,,,2024-01-25
67,2024-01-25,9:52 p. m.,Curl bicep ,"{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '11'}",,,,,,2024-01-25
68,2024-01-26,8:52 p. m.,Bench press,"{'weight': '20 lb', 'reps': '20'}","{'weight': '30 lb', 'reps': '16'}","{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '11'}",,,,2024-01-26
69,2024-01-26,9:10 p. m.,Bench press mancuerna,"{'weight': '20 lb', 'reps': '16'}","{'weight': '20 lb', 'reps': '17'}","{'weight': '20 lb', 'reps': '15'}",,,,,,2024-01-26
70,2024-01-26,9:27 p. m.,Bench press inclinado,"{'weight': '30 lb', 'reps': '13'}","{'weight': '30 lb', 'reps': '12'}","{'weight': '30 lb', 'reps': '13'}",,,,,,2024-01-26
71,2024-01-26,9:39 p. m.,Bench press inclinado mancuerna,"{'weight': '15 lb', 'reps': '13'}","{'weight': '15 lb', 'reps': '14'}","{'weight': '15 lb', 'reps': '16'}",,,,,,2024-01-26
72,2024-01-26,9:59 p. m.,Tricep pushdowns,"{'weight': '4 barra', 'reps': '14'}","{'weight': '4 barra', 'reps': '13'}",,,,,,,2024-01-26
73,2024-01-29,8:40 p. m.,Sentadilla m,"{'weight': '40 lb', 'reps': '14'}","{'weight': '50 lb', 'reps': '12'}","{'weight': '50 lb', 'reps': '12'}","{'weight': '50 lb', 'reps': '12'}",,,,,2024-01-29
74,2024-01-29,8:58 p. m.,Press m,"{'weight': '80 lb', 'reps': '16'}","{'weight': '80 lb', 'reps': '16'}","{'weight': '80 lb', 'reps': '17'}","{'weight': '80 lb', 'reps': '18'}",,,,,2024-01-29
75,2024-01-29,9:28 p. m.,Peso muerto,"{'weight': '50 lb', 'reps': '13'}","{'weight': '50 lb', 'reps': '14'}","{'weight': '50 lb', 'reps': '14'}","{'weight': '50 lb', 'reps': '12'}",,,,,2024-01-29
76,2024-01-30,8:57 p. m.,Jal,"{'weight': '4 barra', 'reps': '18'}","{'weight': '4 barra', 'reps': '18'}","{'weight': '5 barra', 'reps': '12'}","{'weight': '5 barra', 'reps': '11'}","{'weight': '5 barra', 'reps': '11'}",,,,2024-01-30
77,2024-01-30,9:12 p. m.,Jal,"{'weight': '2 barra', 'reps': '13'}","{'weight': '2 barra', 'reps': '20'}","{'weight': '2 barra', 'reps': '20'}",,,,,,2024-01-30
78,2024-01-30,9:27 p. m.,Jalon pecho barra,"{'weight': '30 lb', 'reps': '11'}","{'weight': '30 lb', 'reps': '11'}","{'weight': '30 lb', 'reps': '12'}",,,,,,2024-01-30
79,2024-01-30,9:39 p. m.,Jal,"{'weight': '4 barra', 'reps': '13'}","{'weight': '4 barra', 'reps': '14'}","{'weight': '4 barra', 'reps': '14'}",,,,,,2024-01-30
80,2024-01-30,9:54 p. m.,Jal,"{'weight': '4 barra', 'reps': '13'}","{'weight': '4 barra', 'reps': '12'}","{'weight': '4 barra', 'reps': '13'}",,,,,,2024-01-30
81,2024-01-30,10:03 p. m.,Curl bicep,"{'weight': '20 lb', 'reps': '10'}","{'weight': '20 lb', 'reps': '10'}",,,,,,,2024-01-30
82,2024-01-30,10:30 p. m.,Curl antebrazo,"{'weight': '15 lb', 'reps': '15'}","{'weight': '15 lb', 'reps': '15'}","{'weight': '15 lb', 'reps': '15'}",,,,,,2024-01-30
83,2024-02-01,9:12 p. m.,Press hombro,"{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '16'}","{'weight': '20 lb', 'reps': '14'}","{'weight': '20 lb', 'reps': '14'}",,,,,2024-02-01
84,2024-02-01,9:25 p. m.,Laterales,"{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '11'}","{'weight': '15 lb', 'reps': '13'}","{'weight': '15 lb', 'reps': '12'}",,,,,2024-02-01
85,2024-02-01,9:47 p. m.,Frontal,"{'weight': '15 lb', 'reps': '13'}","{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '14'}",,,,,2024-02-01
86,2024-02-01,9:59 p. m.,Curl bicep,"{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '12'}","{'weight': '20 lb', 'reps': '12'}",,,,,,2024-02-01
87,2024-02-01,10:12 p. m.,Curl bicep ,"{'weight': '20 lb', 'reps': '13'}","{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '12'}",,,,,,2024-02-01
88,2024-02-01,10:21 p. m.,Curl bicep ,"{'weight': '15 lb', 'reps': '10'}","{'weight': '15 lb', 'reps': '13'}","{'weight': '15 lb', 'reps': '11'}",,,,,,2024-02-01
89,2024-02-02,8:51 p. m.,Bench press,"{'weight': '30 lb', 'reps': '18'}","{'weight': '40 lb', 'reps': '14'}","{'weight': '50 lb', 'reps': '11'}","{'weight': '50 lb', 'reps': '12'}","{'weight': '50 lb', 'reps': '11'}",,,,2024-02-02
90,2024-02-02,9:04 p. m.,Bench press mancuerna,"{'weight': '20 lb', 'reps': '14'}","{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '16'}",,,,,,2024-02-02
91,2024-02-02,9:20 p. m.,Bench press inclinado,"{'weight': '30 lb', 'reps': '14'}","{'weight': '30 lb', 'reps': '15'}","{'weight': '30 lb', 'reps': '13'}",,,,,,2024-02-02
92,2024-02-02,9:33 p. m.,Bench press inclinado mancuerna,"{'weight': '15 lb', 'reps': '15'}","{'weight': '15 lb', 'reps': '16'}","{'weight': '15 lb', 'reps': '16'}",,,,,,2024-02-02
93,2024-02-06,8:52 p. m.,Jal,"{'weight': '4 barra', 'reps': '15'}","{'weight': '5 barra', 'reps': '12'}","{'weight': '5 barra', 'reps': '12'}","{'weight': '5 barra', 'reps': '13'}",,,,,2024-02-06
94,2024-02-06,9:13 p. m.,Jal,"{'weight': '3 barra', 'reps': '15'}","{'weight': '3 barra', 'reps': '16'}","{'weight': '3 barra', 'reps': '16'}","{'weight': '3 barra', 'reps': '16'}",,,,,2024-02-06
95,2024-02-06,9:23 p. m.,Jal,"{'weight': '30 lb', 'reps': '10'}","{'weight': '30 lb', 'reps': '12'}","{'weight': '30 lb', 'reps': '11'}",,,,,,2024-02-06
96,2024-02-06,9:47 p. m.,Jal,"{'weight': '4 barra', 'reps': '14'}","{'weight': '4 barra', 'reps': '16'}","{'weight': '4 barra', 'reps': '15'}",,,,,,2024-02-06
97,2024-02-08,9:30 p. m.,Press hombro,"{'weight': '20 lb', 'reps': '17'}","{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '14'}","{'weight': '20 lb', 'reps': '12'}",,,,,2024-02-08
98,2024-02-08,9:43 p. m.,Laterales,"{'weight': '15 lb', 'reps': '13'}","{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '13'}",,,,,2024-02-08
99,2024-02-08,10:00 p. m.,Frontal,"{'weight': '15 lb', 'reps': '13'}","{'weight': '15 lb', 'reps': '15'}","{'weight': '15 lb', 'reps': '14'}","{'weight': '15 lb', 'reps': '15'}",,,,,2024-02-08
100,2024-02-08,10:12 p. m.,Curl bicep ,"{'weight': '20 lb', 'reps': '13'}","{'weight': '20 lb', 'reps': '12'}","{'weight': '20 lb', 'reps': '11'}",,,,,,2024-02-08
101,2024-02-08,10:25 p. m.,Curl bicep ,"{'weight': '20 lb', 'reps': '12'}","{'weight': '20 lb', 'reps': '12'}","{'weight': '20 lb', 'reps': '13'}",,,,,,2024-02-08
102,2024-02-08,10:37 p. m.,Curl bicep ,"{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '11'}","{'weight': '15 lb', 'reps': '12'}",,,,,,2024-02-08
103,2024-02-09,9:15 p. m.,Bench press,"{'weight': '30 lb', 'reps': '18'}","{'weight': '40 lb', 'reps': '15'}","{'weight': '50 lb', 'reps': '11'}","{'weight': '50 lb', 'reps': '12'}","{'weight': '50 lb', 'reps': '11'}",,,,2024-02-09
104,2024-02-09,9:29 p. m.,Bench press mancuerna,"{'weight': '20 lb', 'reps': '16'}","{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '16'}",,,,,,2024-02-09
105,2024-02-09,9:42 p. m.,Bench press inclinado,"{'weight': '30 lb', 'reps': '15'}","{'weight': '30 lb', 'reps': '13'}","{'weight': '30 lb', 'reps': '15'}","{'weight': '30 lb', 'reps': '15'}",,,,,2024-02-09
106,2024-02-09,10:08 p. m.,Bench press inclinado mancuerna,"{'weight': '15 lb', 'reps': '15'}","{'weight': '15 lb', 'reps': '17'}","{'weight': '15 lb', 'reps': '16'}",,,,,,2024-02-09
107,2024-02-13,9:48 p. m.,Jalon pecho,"{'weight': '45 lb', 'reps': '20'}","{'weight': '60 lb', 'reps': '20'}","{'weight': '75 lb', 'reps': '14'}","{'weight': '75 lb', 'reps': '13'}","{'weight': '75 lb', 'reps': '13'}",,,,2024-02-13
108,2024-02-13,10:01 p. m.,Jal,"{'weight': '60 lb', 'reps': '15'}","{'weight': '60 lb', 'reps': '15'}","{'weight': '60 lb', 'reps': '15'}",,,,,,2024-02-13
109,2024-02-13,10:19 p. m.,Front lat pulldown,"{'weight': '90 lb', 'reps': '10'}","{'weight': '90 lb', 'reps': '11'}","{'weight': '90 lb', 'reps': '11'}",,,,,,2024-02-13
110,2024-02-13,10:34 p. m.,Jalon espalda,"{'weight': '60 lb', 'reps': '15'}","{'weight': '60 lb', 'reps': '14'}","{'weight': '60 lb', 'reps': '11'}",,,,,,2024-02-13
111,2024-02-13,10:47 p. m.,Curl bicep ,"{'weight': '20 lb', 'reps': '13'}","{'weight': '20 lb', 'reps': '10'}","{'weight': '20 lb', 'reps': '10'}",,,,,,2024-02-13
112,2024-02-15,8:43 p. m.,Press hombro,"{'weight': '20 lb', 'reps': '18'}","{'weight': '25 lb', 'reps': '14'}","{'weight': '25 lb', 'reps': '13'}","{'weight': '25 lb', 'reps': '13'}",,,,,2024-02-15
