,date,hour,exercise,Serie 1,Serie 2,Serie 3,Serie 4,Serie 5,Serie 6,Serie 7,Serie 8,Datetime
140,2024-02-23,9:17 p. m.,Press banca inclinado mancuerna,"{'weight': '20 lb', 'reps': '16'}","{'weight': '20 lb', 'reps': '16'}","{'weight': '20 lb', 'reps': '15'}",,,,,,2024-02-23
141,2024-02-23,9:31 p. m.,Mariposas,"{'weight': '90 lb', 'reps': '12'}","{'weight': '90 lb', 'reps': '11'}","{'weight': '90 lb', 'reps': '11'}",,,,,,2024-02-23
142,2024-02-23,9:39 p. m.,Pushdown tricep,"{'weight': '60 lb', 'reps': '17'}","{'weight': '60 lb', 'reps': '14'}","{'weight': '60 lb', 'reps': '13'}",,,,,,2024-02-23
143,2024-02-23,9:47 p. m.,Overhead tricep extension,"{'weight': '50 lb', 'reps': '11'}","{'weight': '50 lb', 'reps': '10'}","{'weight': '50 lb', 'reps': '10'}",,,,,,2024-02-23
144,2024-02-26,9:06 p. m.,Sentadilla m,"{'weight': '40 lb', 'reps': '18'}","{'weight': '50 lb', 'reps': '18'}","{'weight': '50 lb', 'reps': '19'}","{'weight': '50 lb', 'reps': '17'}",,,,,2024-02-26
145,2024-02-26,9:28 p. m.,Press m,"{'weight': '90 lb', 'reps': '21'}","{'weight': '100 lb', 'reps': '20'}","{'weight': '110 lb', 'reps': '19'}","{'weight': '130 lb', 'reps': '17'}","{'weight': '130 lb', 'reps': '17'}","{'weight': '130 lb', 'reps': '18'}",,,2024-02-26
146,2024-02-26,9:47 p. m.,Esquitibiales,"{'weight': '75 lb', 'reps': '18'}","{'weight': '90 lb', 'reps': '15'}","{'weight': '90 lb', 'reps': '16'}","{'weight': '90 lb', 'reps': '17'}",,,,,2024-02-26
147,2024-02-26,10:13 p. m.,Peso muerto,"{'weight': '50 lb', 'reps': '14'}","{'weight': '50 lb', 'reps': '13'}","{'weight': '50 lb', 'reps': '13'}","{'weight': '50 lb', 'reps': '14'}",,,,,2024-02-26
148,2024-02-26,10:24 p. m.,Leg curl,"{'weight': '45 lb', 'reps': '14'}","{'weight': '45 lb', 'reps': '15'}","{'weight': '45 lb', 'reps': '15'}",,,,,,2024-02-26
149,2024-02-27,9:14 p. m.,Jal,"{'weight': '75 lb', 'reps': '17'}","{'weight': '75 lb', 'reps': '16'}","{'weight': '75 lb', 'reps': '15'}",,,,,,2024-02-27
150,2024-02-27,9:27 p. m.,Jal,"{'weight': '60 lb', 'reps': '15'}","{'weight': '60 lb', 'reps': '15'}","{'weight': '60 lb', 'reps': '15'}",,,,,,2024-02-27
151,2024-02-27,9:40 p. m.,Dominadas,"{'weight': '90 lb', 'reps': '6'}","{'weight': '90 lb', 'reps': '6'}","{'weight': '90 lb', 'reps': '6'}",,,,,,2024-02-27
152,2024-02-27,9:53 p. m.,Front lat pulldown,"{'weight': '90 lb', 'reps': '13'}","{'weight': '90 lb', 'reps': '12'}","{'weight': '90 lb', 'reps': '12'}",,,,,,2024-02-27
153,2024-02-27,10:04 p. m.,Jal,"{'weight': '60 lb', 'reps': '15'}","{'weight': '60 lb', 'reps': '14'}","{'weight': '60 lb', 'reps': '14'}",,,,,,2024-02-27
154,2024-02-29,9:22 p. m.,Press hombro,"{'weight': '25 lb', 'reps': '14'}","{'weight': '25 lb', 'reps': '15'}","{'weight': '25 lb', 'reps': '13'}","{'weight': '25 lb', 'reps': '13'}",,,,,2024-02-29
155,2024-02-29,9:39 p. m.,Laterales,"{'weight': '15 lb', 'reps': '15'}","{'weight': '15 lb', 'reps': '13'}","{'weight': '15 lb', 'reps': '14'}","{'weight': '15 lb', 'reps': '13'}",,,,,2024-02-29
156,2024-02-29,9:57 p. m.,Frontal,"{'weight': '15 lb', 'reps': '15'}","{'weight': '15 lb', 'reps': '14'}","{'weight': '15 lb', 'reps': '14'}","{'weight': '15 lb', 'reps': '14'}",,,,,2024-02-29
157,2024-02-29,10:11 p. m.,Curl bicep ,"{'weight': '20 lb', 'reps': '16'}","{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '13'}",,,,,,2024-02-29
158,2024-02-29,10:25 p. m.,Curl bicep ,"{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '14'}","{'weight': '20 lb', 'reps': '14'}",,,,,,2024-02-29
159,2024-02-29,10:37 p. m.,Curl bicep ,"{'weight': '15 lb', 'reps': '15'}","{'weight': '15 lb', 'reps': '16'}","{'weight': '15 lb', 'reps': '15'}",,,,,,2024-02-29
160,2024-03-01,8:51 p. m.,Press banca,"{'weight': '20 lb', 'reps': '24'}","{'weight': '50 lb', 'reps': '17'}","{'weight': '60 lb', 'reps': '14'}","{'weight': '60 lb', 'reps': '14'}","{'weight': '60 lb', 'reps': '13'}",,,,2024-03-01
161,2024-03-01,9:05 p. m.,Press banca mancuerna,"{'weight': '25 lb', 'reps': '17'}","{'weight': '25 lb', 'reps': '17'}","{'weight': '25 lb', 'reps': '17'}",,,,,,2024-03-01
162,2024-03-01,9:21 p. m.,Press banca inclinado,"{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '12'}",,,,,,2024-03-01
163,2024-03-01,9:34 p. m.,Press banca inclinado mancuerna,"{'weight': '20 lb', 'reps': '16'}","{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '15'}",,,,,,2024-03-01
164,2024-03-01,9:47 p. m.,Mariposas,"{'weight': '90 lb', 'reps': '11'}","{'weight': '90 lb', 'reps': '10'}","{'weight': '90 lb', 'reps': '10'}",,,,,,2024-03-01
